  z   OmegaM  h
0.4967 0.3071 0.678
Mass_Bins    dn/dlnM ... 
Here follow 4 mass functions, one for each quartile of the parameter Xoff
1st quartile
bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48
1.326e+12,1.464e+12,1.613e+12,1.778e+12,1.964e+12,2.166e+12,2.39e+12,2.641e+12,2.918e+12,3.22e+12,3.554e+12,3.921e+12,4.324e+12,4.771e+12,5.267e+12,5.814e+12,6.414e+12,7.078e+12,7.817e+12,8.624e+12,9.522e+12,1.051e+13,1.159e+13,1.279e+13,1.412e+13,1.559e+13,1.721e+13,1.899e+13,2.096e+13,2.313e+13,2.552e+13,2.817e+13,3.11e+13,3.433e+13,3.787e+13,4.182e+13,4.614e+13,5.089e+13,5.623e+13,6.202e+13,6.847e+13,7.551e+13,8.347e+13,9.195e+13,1.015e+14,1.121e+14,1.238e+14,1.365e+14,1.507e+14
0.0001295,0.0001519,0.0001533,0.0001796,0.0001828,0.0001949,0.0002102,0.0002347,0.0002571,0.0002783,0.0002847,0.000284,0.000288,0.0002852,0.0002851,0.0002809,0.0002681,0.0002673,0.0002578,0.0002544,0.0002471,0.0002363,0.0002288,0.0002191,0.0002064,0.0002009,0.0001871,0.0001742,0.0001593,0.0001466,0.0001332,0.0001173,0.0001031,9.001e-05,7.924e-05,7.174e-05,6.131e-05,5.322e-05,4.666e-05,4.04e-05,3.395e-05,2.885e-05,2.462e-05,2.058e-05,1.817e-05,1.462e-05,1.21e-05,9.779e-06,8.33e-06
0.0001368,0.0001595,0.0001555,0.0001836,0.0001903,0.000201,0.0002153,0.0002402,0.0002638,0.0002827,0.0002917,0.0002881,0.0002883,0.0002847,0.0002861,0.0002796,0.0002706,0.0002683,0.0002591,0.000252,0.0002479,0.0002363,0.0002254,0.0002188,0.0002103,0.0001982,0.0001859,0.0001718,0.0001599,0.0001441,0.0001325,0.0001178,0.0001037,9.137e-05,7.973e-05,7.028e-05,6.011e-05,5.331e-05,4.59e-05,3.861e-05,3.481e-05,2.974e-05,2.495e-05,2.12e-05,1.731e-05,1.462e-05,1.232e-05,9.738e-06,8.563e-06
0.0001354,0.0001582,0.0001555,0.0001841,0.0001893,0.0002016,0.0002163,0.0002407,0.0002641,0.0002867,0.0002884,0.0002925,0.0002899,0.0002917,0.0002885,0.0002801,0.0002701,0.00027,0.0002583,0.0002525,0.0002491,0.0002353,0.0002291,0.0002223,0.0002089,0.0002018,0.0001874,0.0001761,0.0001588,0.0001457,0.0001326,0.0001174,0.000104,9.029e-05,8.156e-05,6.962e-05,6.056e-05,5.411e-05,4.613e-05,3.942e-05,3.463e-05,2.876e-05,2.353e-05,2.122e-05,1.72e-05,1.494e-05,1.188e-05,9.911e-06,7.519e-06
0.0001343,0.0001563,0.0001545,0.0001791,0.0001854,0.0001986,0.000212,0.000238,0.0002608,0.0002816,0.0002882,0.0002887,0.0002877,0.0002836,0.0002833,0.0002752,0.0002665,0.0002685,0.0002587,0.0002533,0.0002516,0.0002357,0.0002328,0.000221,0.0002123,0.000198,0.0001862,0.0001761,0.0001608,0.0001473,0.0001309,0.0001192,0.0001043,9.279e-05,8.024e-05,7.072e-05,6.114e-05,5.3e-05,4.627e-05,3.962e-05,3.38e-05,2.955e-05,2.397e-05,2.118e-05,1.741e-05,1.445e-05,1.246e-05,9.465e-06,8.066e-06
0.0001319,0.0001556,0.0001526,0.0001779,0.0001858,0.0001992,0.0002103,0.0002359,0.0002601,0.0002821,0.0002866,0.0002854,0.0002876,0.0002853,0.0002859,0.0002785,0.0002709,0.0002705,0.0002614,0.0002525,0.0002472,0.0002368,0.0002281,0.0002205,0.0002092,0.0001998,0.0001845,0.0001757,0.0001606,0.0001474,0.0001318,0.0001192,0.0001054,9.08e-05,8.197e-05,7.106e-05,6.149e-05,5.298e-05,4.508e-05,4.017e-05,3.395e-05,2.96e-05,2.389e-05,2.13e-05,1.751e-05,1.452e-05,1.159e-05,9.718e-06,8.188e-06
0.0001257,0.0001503,0.0001458,0.000173,0.0001784,0.0001925,0.000201,0.0002338,0.0002543,0.0002752,0.0002837,0.0002827,0.0002893,0.0002831,0.0002808,0.0002792,0.0002737,0.0002699,0.000258,0.0002561,0.0002468,0.0002373,0.0002294,0.00022,0.0002091,0.0001996,0.0001876,0.0001745,0.00016,0.0001486,0.0001324,0.0001201,0.000103,9.035e-05,8.102e-05,6.988e-05,6.074e-05,5.263e-05,4.525e-05,4.039e-05,3.339e-05,2.88e-05,2.516e-05,2.043e-05,1.752e-05,1.385e-05,1.189e-05,9.657e-06,7.924e-06
0.0001343,0.0001563,0.0001544,0.0001818,0.0001882,0.0002008,0.0002145,0.0002406,0.0002605,0.0002819,0.0002877,0.0002866,0.0002902,0.0002849,0.0002853,0.0002789,0.0002728,0.0002691,0.00026,0.0002546,0.0002474,0.0002371,0.0002308,0.0002177,0.0002105,0.0001974,0.0001869,0.0001729,0.0001584,0.000149,0.0001325,0.0001158,0.0001054,9.172e-05,7.961e-05,7.143e-05,6.078e-05,5.334e-05,4.568e-05,4.044e-05,3.463e-05,2.935e-05,2.485e-05,2.123e-05,1.742e-05,1.457e-05,1.256e-05,9.708e-06,8.654e-06
0.0001281,0.000153,0.0001515,0.0001759,0.0001827,0.0001952,0.000207,0.0002359,0.0002557,0.0002804,0.0002864,0.0002849,0.000288,0.000286,0.0002832,0.0002798,0.0002693,0.0002666,0.0002591,0.0002558,0.0002458,0.0002385,0.0002269,0.000221,0.0002092,0.0001989,0.000187,0.0001729,0.0001594,0.0001475,0.0001318,0.0001165,0.0001041,9.227e-05,8.079e-05,6.997e-05,6.137e-05,5.261e-05,4.614e-05,4.055e-05,3.344e-05,2.771e-05,2.494e-05,2.027e-05,1.774e-05,1.354e-05,1.198e-05,1.008e-05,7.894e-06
0.0001269,0.0001483,0.0001459,0.000173,0.0001788,0.0001921,0.0002004,0.000231,0.0002511,0.0002762,0.0002791,0.0002817,0.000288,0.0002842,0.0002833,0.0002761,0.0002688,0.0002636,0.000259,0.0002555,0.0002484,0.0002372,0.00023,0.0002196,0.0002091,0.0001984,0.0001857,0.0001748,0.0001589,0.0001462,0.0001299,0.0001188,0.0001043,9.186e-05,8.003e-05,7.066e-05,6.046e-05,5.483e-05,4.675e-05,4.01e-05,3.362e-05,2.862e-05,2.485e-05,2.134e-05,1.705e-05,1.522e-05,1.175e-05,1.026e-05,7.793e-06
