  z   OmegaM  h
1.537 0.3071 0.678
Mass_Bins    dn/dlnM ... 
Here follow 4 mass functions, one for each quartile of the parameter Xoff
1st quartile
bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48
1.326e+12,1.464e+12,1.612e+12,1.778e+12,1.965e+12,2.167e+12,2.391e+12,2.64e+12,2.916e+12,3.218e+12,3.554e+12,3.919e+12,4.324e+12,4.771e+12,5.265e+12,5.811e+12,6.412e+12,7.075e+12,7.814e+12,8.617e+12,9.516e+12,1.05e+13,1.159e+13,1.279e+13,1.411e+13,1.557e+13,1.72e+13,1.899e+13,2.094e+13,2.311e+13,2.55e+13,2.816e+13,3.107e+13,3.43e+13,3.786e+13,4.176e+13,4.608e+13,5.088e+13,5.623e+13,6.209e+13,6.821e+13,7.564e+13,8.337e+13,9.188e+13,1.013e+14,1.125e+14,1.237e+14,1.359e+14,1.497e+14
0.000179,0.0002087,0.0002015,0.0002341,0.0002381,0.0002513,0.0002706,0.0003004,0.0003075,0.0003033,0.0002983,0.0002836,0.0002751,0.0002608,0.0002482,0.0002303,0.0002133,0.0002026,0.0001844,0.000171,0.000155,0.0001403,0.0001252,0.0001125,9.896e-05,8.762e-05,7.411e-05,6.332e-05,5.149e-05,4.499e-05,3.654e-05,2.978e-05,2.572e-05,1.965e-05,1.581e-05,1.329e-05,1.074e-05,8.806e-06,6.181e-06,4.621e-06,3.445e-06,3.081e-06,1.996e-06,1.581e-06,1.054e-06,7.6e-07,5.877e-07,3.547e-07,2.128e-07
0.0001888,0.000216,0.0002088,0.0002408,0.0002446,0.0002609,0.0002748,0.0003091,0.0003104,0.0003086,0.0002978,0.000289,0.0002746,0.0002606,0.0002474,0.0002344,0.0002145,0.000203,0.0001831,0.0001715,0.0001548,0.0001416,0.0001245,0.0001118,9.937e-05,8.784e-05,7.351e-05,6.378e-05,5.221e-05,4.493e-05,3.631e-05,3.034e-05,2.409e-05,2.038e-05,1.563e-05,1.295e-05,9.87e-06,7.56e-06,6.161e-06,4.976e-06,3.385e-06,3.131e-06,1.996e-06,1.409e-06,1.105e-06,9.019e-07,4.965e-07,3.851e-07,2.027e-07
0.0001859,0.0002127,0.0002061,0.0002398,0.0002438,0.0002548,0.0002754,0.0003086,0.0003062,0.0003106,0.0002988,0.0002831,0.0002757,0.0002596,0.0002477,0.0002304,0.0002138,0.0002012,0.0001835,0.0001702,0.0001583,0.000138,0.0001256,0.0001121,0.0001002,8.585e-05,7.465e-05,6.254e-05,5.418e-05,4.394e-05,3.737e-05,3.144e-05,2.557e-05,2.019e-05,1.63e-05,1.259e-05,9.799e-06,8.239e-06,6.283e-06,4.692e-06,3.81e-06,2.888e-06,1.956e-06,1.692e-06,9.526e-07,6.283e-07,4.155e-07,3.445e-07,2.635e-07
0.0001865,0.000214,0.0002049,0.0002379,0.0002426,0.0002575,0.0002717,0.000304,0.0003064,0.0003069,0.0002951,0.0002863,0.0002748,0.0002584,0.0002456,0.0002321,0.0002132,0.0002026,0.0001838,0.000169,0.000156,0.0001417,0.0001249,0.0001119,9.995e-05,8.745e-05,7.388e-05,6.195e-05,5.366e-05,4.545e-05,3.597e-05,3.025e-05,2.491e-05,2.06e-05,1.655e-05,1.281e-05,1.04e-05,8.249e-06,6.415e-06,4.986e-06,3.749e-06,2.878e-06,2.219e-06,1.479e-06,1.216e-06,7.499e-07,4.357e-07,3.04e-07,2.229e-07
0.0001829,0.0002101,0.0002003,0.0002355,0.00024,0.0002568,0.0002732,0.0003012,0.0003063,0.0003054,0.0003017,0.0002857,0.0002732,0.0002585,0.000247,0.0002293,0.0002135,0.0002016,0.000185,0.000172,0.0001563,0.0001439,0.0001258,0.0001145,9.867e-05,8.749e-05,7.341e-05,6.291e-05,5.209e-05,4.479e-05,3.662e-05,2.955e-05,2.447e-05,1.956e-05,1.612e-05,1.28e-05,9.971e-06,7.57e-06,6.323e-06,4.692e-06,3.932e-06,2.564e-06,2.25e-06,1.713e-06,1.155e-06,7.499e-07,3.851e-07,5.472e-07,1.723e-07
0.0001741,0.0002028,0.000196,0.0002283,0.0002326,0.000246,0.000267,0.0003031,0.0003029,0.0003045,0.0002955,0.0002852,0.0002717,0.0002597,0.0002456,0.0002311,0.0002149,0.0002038,0.0001826,0.0001726,0.0001549,0.0001392,0.0001257,0.0001121,9.89e-05,8.64e-05,7.207e-05,6.227e-05,5.36e-05,4.447e-05,3.642e-05,3.01e-05,2.49e-05,1.953e-05,1.524e-05,1.283e-05,9.475e-06,7.843e-06,6.273e-06,4.702e-06,3.638e-06,2.736e-06,2.017e-06,1.368e-06,1.175e-06,9.627e-07,4.864e-07,3.749e-07,2.027e-07
0.0001863,0.0002129,0.0002066,0.0002364,0.0002402,0.0002576,0.0002743,0.0003062,0.0003049,0.0003085,0.0003008,0.0002839,0.0002731,0.0002614,0.0002472,0.0002344,0.0002167,0.0001996,0.0001833,0.0001676,0.0001563,0.0001399,0.000126,0.0001116,9.91e-05,8.792e-05,7.444e-05,6.251e-05,5.297e-05,4.511e-05,3.781e-05,2.935e-05,2.456e-05,1.989e-05,1.607e-05,1.201e-05,1.087e-05,8.37e-06,6.729e-06,4.479e-06,3.374e-06,2.848e-06,2.088e-06,1.368e-06,1.023e-06,9.12e-07,4.357e-07,3.344e-07,2.432e-07
0.0001722,0.0001978,0.0001923,0.0002237,0.0002282,0.0002403,0.0002633,0.0002906,0.0002984,0.0003021,0.0002943,0.0002795,0.000271,0.0002571,0.0002457,0.000232,0.0002145,0.0002012,0.0001862,0.0001693,0.0001551,0.0001391,0.0001249,0.0001129,9.982e-05,8.61e-05,7.413e-05,6.402e-05,5.473e-05,4.455e-05,3.635e-05,3.074e-05,2.521e-05,2.014e-05,1.579e-05,1.178e-05,1.002e-05,8.087e-06,6.536e-06,4.813e-06,3.81e-06,2.645e-06,2.28e-06,1.773e-06,1.044e-06,7.499e-07,4.053e-07,3.648e-07,3.04e-07
0.0001889,0.0002149,0.0002089,0.0002394,0.0002448,0.000258,0.0002784,0.0003042,0.0003078,0.000308,0.0003016,0.0002881,0.0002749,0.0002596,0.0002491,0.0002318,0.000215,0.0002014,0.0001855,0.0001692,0.0001555,0.0001419,0.0001259,0.0001119,9.947e-05,8.764e-05,7.557e-05,6.275e-05,5.254e-05,4.457e-05,3.75e-05,2.959e-05,2.515e-05,1.94e-05,1.615e-05,1.236e-05,1.006e-05,8.117e-06,5.918e-06,5.178e-06,3.618e-06,2.939e-06,1.885e-06,1.479e-06,9.222e-07,8.816e-07,5.675e-07,3.547e-07,1.723e-07
