  z   OmegaM  h
0.2659 0.3071 0.678
Mass_Bins    dn/dlnM ... 
Here follow 4 mass functions, one for each quartile of the parameter Xoff
1st quartile
bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48
1.326e+12,1.464e+12,1.614e+12,1.778e+12,1.965e+12,2.166e+12,2.39e+12,2.64e+12,2.917e+12,3.221e+12,3.554e+12,3.921e+12,4.327e+12,4.773e+12,5.268e+12,5.814e+12,6.414e+12,7.081e+12,7.814e+12,8.62e+12,9.522e+12,1.051e+13,1.16e+13,1.279e+13,1.413e+13,1.56e+13,1.721e+13,1.899e+13,2.096e+13,2.313e+13,2.553e+13,2.818e+13,3.109e+13,3.433e+13,3.784e+13,4.182e+13,4.613e+13,5.092e+13,5.615e+13,6.203e+13,6.846e+13,7.552e+13,8.336e+13,9.197e+13,1.016e+14,1.123e+14,1.237e+14,1.364e+14,1.508e+14
0.0001115,0.0001329,0.0001329,0.0001548,0.0001598,0.0001751,0.0001842,0.0002012,0.0002179,0.0002405,0.0002557,0.0002639,0.0002661,0.000267,0.0002623,0.0002608,0.000257,0.0002545,0.0002482,0.0002408,0.0002371,0.0002268,0.0002239,0.0002163,0.0002065,0.0002011,0.0001872,0.0001792,0.0001692,0.0001574,0.0001447,0.0001329,0.0001203,0.0001089,9.412e-05,8.516e-05,7.351e-05,6.592e-05,5.919e-05,5.118e-05,4.598e-05,3.741e-05,3.327e-05,2.907e-05,2.488e-05,2.199e-05,1.853e-05,1.486e-05,1.275e-05
0.0001183,0.0001378,0.0001368,0.0001636,0.0001689,0.0001825,0.000191,0.0002075,0.0002225,0.0002475,0.000265,0.0002664,0.00027,0.0002662,0.0002652,0.0002625,0.0002591,0.0002545,0.0002427,0.0002387,0.0002365,0.0002267,0.0002208,0.0002163,0.0002076,0.0001985,0.0001889,0.000178,0.0001673,0.0001569,0.0001448,0.0001321,0.0001207,0.0001093,9.43e-05,8.256e-05,7.513e-05,6.608e-05,5.878e-05,4.998e-05,4.347e-05,3.863e-05,3.291e-05,2.838e-05,2.453e-05,2.11e-05,1.861e-05,1.525e-05,1.254e-05
0.0001179,0.0001383,0.000137,0.0001634,0.0001707,0.0001805,0.0001914,0.0002096,0.0002235,0.0002486,0.0002649,0.0002667,0.0002711,0.000266,0.0002648,0.0002651,0.000256,0.000256,0.0002469,0.0002425,0.0002383,0.0002297,0.0002224,0.0002152,0.0002058,0.0001996,0.0001893,0.0001803,0.0001714,0.0001569,0.0001459,0.0001319,0.0001193,0.0001084,9.568e-05,8.7e-05,7.501e-05,6.57e-05,5.824e-05,5.022e-05,4.436e-05,3.83e-05,3.407e-05,2.813e-05,2.43e-05,2.207e-05,1.736e-05,1.534e-05,1.294e-05
0.0001151,0.0001378,0.0001358,0.0001604,0.0001657,0.0001794,0.0001867,0.0002073,0.0002181,0.0002477,0.0002627,0.000266,0.0002686,0.0002633,0.0002621,0.000262,0.0002549,0.0002549,0.0002426,0.000243,0.0002365,0.0002268,0.0002202,0.0002138,0.000209,0.0002005,0.0001881,0.0001808,0.0001688,0.0001574,0.0001452,0.0001324,0.0001192,0.000107,9.686e-05,8.724e-05,7.51e-05,6.609e-05,5.744e-05,5.191e-05,4.512e-05,3.87e-05,3.305e-05,2.847e-05,2.491e-05,2.173e-05,1.774e-05,1.507e-05,1.277e-05
0.0001135,0.0001324,0.0001331,0.0001582,0.0001647,0.0001745,0.0001866,0.0002043,0.0002176,0.0002438,0.0002635,0.0002629,0.0002684,0.0002669,0.0002663,0.0002611,0.000256,0.0002541,0.0002466,0.0002393,0.0002381,0.0002301,0.0002195,0.0002186,0.000209,0.0002003,0.0001898,0.0001821,0.0001671,0.0001576,0.0001472,0.0001355,0.0001208,0.000108,9.546e-05,8.708e-05,7.494e-05,6.603e-05,5.825e-05,5.156e-05,4.387e-05,3.802e-05,3.203e-05,2.907e-05,2.509e-05,2.077e-05,1.737e-05,1.441e-05,1.253e-05
0.0001083,0.0001278,0.0001277,0.0001521,0.0001575,0.0001698,0.0001829,0.0001992,0.0002155,0.0002379,0.000256,0.0002596,0.0002629,0.000265,0.0002644,0.0002607,0.0002551,0.0002556,0.0002471,0.0002402,0.0002384,0.0002287,0.0002231,0.0002144,0.0002071,0.0001986,0.0001882,0.0001802,0.0001707,0.0001591,0.000146,0.0001332,0.0001201,0.0001073,9.744e-05,8.464e-05,7.536e-05,6.719e-05,5.799e-05,5.038e-05,4.448e-05,3.917e-05,3.224e-05,2.897e-05,2.567e-05,2.086e-05,1.784e-05,1.491e-05,1.258e-05
0.0001174,0.0001378,0.0001355,0.0001612,0.0001654,0.0001822,0.0001886,0.0002063,0.0002207,0.0002462,0.0002663,0.0002665,0.0002694,0.0002695,0.0002662,0.0002618,0.0002553,0.000253,0.0002453,0.0002387,0.0002375,0.0002309,0.0002207,0.0002126,0.0002067,0.0002011,0.0001894,0.0001797,0.0001675,0.0001576,0.0001451,0.0001328,0.0001206,0.0001082,9.553e-05,8.469e-05,7.497e-05,6.701e-05,5.749e-05,5.081e-05,4.462e-05,3.887e-05,3.333e-05,2.878e-05,2.526e-05,2.096e-05,1.833e-05,1.47e-05,1.23e-05
0.0001122,0.0001318,0.0001297,0.0001567,0.0001606,0.000173,0.0001847,0.0001989,0.0002164,0.0002403,0.0002599,0.0002625,0.0002679,0.0002673,0.0002637,0.0002589,0.0002576,0.0002549,0.0002442,0.0002398,0.0002357,0.0002313,0.0002227,0.0002158,0.0002095,0.0001992,0.0001886,0.000179,0.0001679,0.0001606,0.0001458,0.0001327,0.0001204,0.0001087,9.413e-05,8.57e-05,7.442e-05,6.608e-05,5.791e-05,5.089e-05,4.407e-05,3.822e-05,3.346e-05,2.806e-05,2.453e-05,2.148e-05,1.724e-05,1.531e-05,1.28e-05
0.0001071,0.0001242,0.0001248,0.0001518,0.0001575,0.0001715,0.0001812,0.0002003,0.0002114,0.0002376,0.0002552,0.0002569,0.0002613,0.0002642,0.0002682,0.0002623,0.000253,0.0002523,0.0002472,0.0002406,0.0002387,0.0002255,0.0002224,0.0002169,0.000208,0.0001959,0.0001889,0.0001796,0.0001692,0.000156,0.0001465,0.0001309,0.000119,0.0001082,9.881e-05,8.551e-05,7.423e-05,6.619e-05,5.855e-05,5.202e-05,4.427e-05,3.912e-05,3.34e-05,2.86e-05,2.474e-05,2.149e-05,1.881e-05,1.529e-05,1.241e-05
