  z   OmegaM  h
0.2189 0.3071 0.678
Mass_Bins    dn/dlnM ... 
Here follow 4 mass functions, one for each quartile of the parameter Xoff
1st quartile
bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48
1.326e+12,1.464e+12,1.613e+12,1.777e+12,1.965e+12,2.166e+12,2.39e+12,2.64e+12,2.918e+12,3.221e+12,3.556e+12,3.92e+12,4.325e+12,4.772e+12,5.267e+12,5.814e+12,6.418e+12,7.081e+12,7.813e+12,8.624e+12,9.527e+12,1.051e+13,1.16e+13,1.279e+13,1.413e+13,1.559e+13,1.72e+13,1.898e+13,2.095e+13,2.313e+13,2.553e+13,2.818e+13,3.109e+13,3.433e+13,3.787e+13,4.18e+13,4.611e+13,5.088e+13,5.619e+13,6.205e+13,6.845e+13,7.548e+13,8.336e+13,9.205e+13,1.016e+14,1.122e+14,1.238e+14,1.365e+14,1.507e+14
0.0001073,0.0001287,0.0001263,0.000152,0.0001542,0.0001696,0.0001793,0.0001978,0.0002083,0.0002296,0.0002486,0.000258,0.000261,0.0002643,0.0002554,0.0002569,0.00025,0.000251,0.0002402,0.0002362,0.0002328,0.0002235,0.0002195,0.000216,0.0002063,0.0001982,0.0001847,0.00018,0.0001684,0.0001562,0.0001466,0.0001348,0.0001216,0.0001106,9.97e-05,8.827e-05,7.515e-05,6.896e-05,5.978e-05,5.346e-05,4.721e-05,4.123e-05,3.5e-05,3.101e-05,2.619e-05,2.296e-05,2.005e-05,1.645e-05,1.305e-05
0.0001145,0.000135,0.0001325,0.0001593,0.0001634,0.0001749,0.0001855,0.0002021,0.0002125,0.0002362,0.0002543,0.0002621,0.0002636,0.0002621,0.0002621,0.0002556,0.0002516,0.0002523,0.0002418,0.0002358,0.000231,0.000224,0.0002161,0.0002119,0.0002066,0.0001978,0.0001873,0.0001785,0.0001683,0.0001548,0.0001468,0.0001337,0.0001241,0.0001108,9.797e-05,8.645e-05,7.665e-05,6.91e-05,6.013e-05,5.337e-05,4.483e-05,4.017e-05,3.505e-05,3.006e-05,2.587e-05,2.257e-05,1.944e-05,1.63e-05,1.389e-05
0.0001125,0.0001343,0.0001344,0.0001589,0.0001639,0.0001762,0.0001867,0.0002043,0.0002143,0.0002357,0.000259,0.000261,0.0002657,0.0002642,0.0002602,0.0002599,0.0002526,0.0002496,0.0002422,0.0002371,0.0002365,0.0002243,0.0002171,0.0002135,0.0002066,0.0001955,0.0001868,0.0001772,0.0001708,0.00016,0.0001469,0.0001336,0.0001202,0.0001107,9.805e-05,8.898e-05,7.848e-05,6.797e-05,6.092e-05,5.265e-05,4.55e-05,4.107e-05,3.534e-05,3.014e-05,2.634e-05,2.294e-05,1.981e-05,1.561e-05,1.382e-05
0.0001113,0.0001328,0.0001294,0.000157,0.0001594,0.0001731,0.000185,0.0002006,0.000209,0.0002368,0.0002553,0.0002589,0.0002629,0.0002589,0.0002569,0.0002579,0.0002511,0.0002517,0.0002388,0.0002391,0.0002321,0.0002238,0.0002173,0.0002121,0.0002062,0.0001967,0.0001888,0.0001785,0.0001683,0.0001591,0.0001478,0.0001339,0.0001217,0.00011,9.802e-05,8.987e-05,7.633e-05,6.974e-05,6.038e-05,5.322e-05,4.693e-05,4.089e-05,3.513e-05,3.009e-05,2.652e-05,2.246e-05,1.915e-05,1.638e-05,1.344e-05
0.0001111,0.000129,0.0001299,0.0001536,0.0001602,0.0001712,0.000183,0.0001966,0.0002071,0.0002358,0.0002531,0.0002583,0.0002617,0.0002605,0.0002639,0.0002579,0.0002512,0.0002483,0.0002401,0.0002371,0.0002327,0.0002266,0.0002174,0.0002159,0.0002048,0.0001973,0.0001879,0.0001797,0.0001687,0.0001565,0.0001473,0.0001383,0.0001228,0.0001114,9.803e-05,8.906e-05,7.723e-05,6.825e-05,6.082e-05,5.427e-05,4.625e-05,3.991e-05,3.425e-05,3.075e-05,2.568e-05,2.296e-05,1.871e-05,1.585e-05,1.364e-05
0.0001033,0.0001248,0.0001244,0.0001498,0.0001523,0.0001654,0.0001764,0.000194,0.0002038,0.000229,0.0002486,0.0002544,0.0002572,0.0002592,0.0002589,0.0002562,0.0002509,0.0002504,0.0002408,0.0002373,0.0002343,0.0002236,0.0002176,0.0002132,0.0002038,0.0001974,0.0001868,0.0001814,0.0001692,0.0001609,0.0001468,0.0001364,0.0001231,0.0001097,9.812e-05,8.872e-05,7.734e-05,6.999e-05,6.072e-05,5.325e-05,4.582e-05,4.132e-05,3.533e-05,3.009e-05,2.65e-05,2.246e-05,2.014e-05,1.564e-05,1.387e-05
0.000112,0.0001328,0.0001322,0.0001542,0.0001612,0.0001743,0.0001849,0.0002031,0.0002109,0.0002375,0.0002556,0.0002614,0.0002638,0.0002644,0.0002623,0.0002575,0.0002511,0.0002472,0.0002427,0.0002361,0.0002342,0.0002237,0.0002193,0.000212,0.0002046,0.0001993,0.0001879,0.0001789,0.0001666,0.0001563,0.0001481,0.0001348,0.0001224,0.0001116,9.768e-05,8.675e-05,7.86e-05,6.866e-05,6.048e-05,5.287e-05,4.665e-05,4.112e-05,3.474e-05,3.116e-05,2.593e-05,2.217e-05,1.965e-05,1.545e-05,1.376e-05
0.0001084,0.0001271,0.0001253,0.000152,0.0001594,0.0001691,0.0001809,0.0001949,0.0002068,0.0002305,0.0002521,0.0002557,0.0002612,0.0002616,0.0002611,0.0002554,0.0002477,0.0002498,0.0002425,0.0002353,0.000234,0.0002226,0.0002208,0.0002103,0.0002065,0.0001976,0.0001876,0.000179,0.000168,0.0001596,0.0001475,0.0001357,0.0001225,0.0001116,9.928e-05,8.604e-05,7.882e-05,6.878e-05,5.985e-05,5.283e-05,4.668e-05,4.082e-05,3.532e-05,2.962e-05,2.566e-05,2.18e-05,1.926e-05,1.597e-05,1.351e-05
0.0001032,0.0001206,0.000122,0.0001459,0.0001523,0.0001672,0.0001766,0.0001926,0.000202,0.0002284,0.0002473,0.0002521,0.0002568,0.0002581,0.0002592,0.0002575,0.0002491,0.00025,0.0002417,0.0002365,0.0002331,0.000223,0.0002202,0.0002148,0.0002062,0.0001944,0.000187,0.0001801,0.0001675,0.0001582,0.0001478,0.000133,0.0001221,0.0001107,9.962e-05,8.831e-05,7.695e-05,6.972e-05,6.065e-05,5.477e-05,4.533e-05,4.164e-05,3.542e-05,3.018e-05,2.683e-05,2.289e-05,1.894e-05,1.667e-05,1.347e-05
